City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Tezu,IN,27.92,96.17,76.6,87,97,2.82,light rain
84,Khatanga,RU,71.97,102.5,67.1,50,0,7.34,clear sky
85,Mayo,US,38.89,-76.51,86.0,58,1,5.82,clear sky
86,Saldanha,ZA,-33.01,17.94,50.0,81,8,4.7,clear sky
87,Savannah Bight,HN,16.45,-85.85,85.35,81,81,25.72,broken clouds
88,Yellowknife,CA,62.46,-114.35,57.2,71,75,9.17,broken clouds
89,Dikson,RU,73.51,80.55,48.06,80,28,8.97,scattered clouds
90,Puerto Ayora,EC,-0.74,-90.35,65.3,85,75,9.08,broken clouds
91,Ribeira Grande,PT,38.52,-28.7,74.3,89,63,12.28,light rain
92,Puerto Escondido,MX,15.85,-97.07,81.03,79,100,12.55,light rain
93,Margate,GB,51.38,1.39,59.0,89,68,1.99,broken clouds
94,Hithadhoo,MV,-0.6,73.08,81.9,61,100,13.47,overcast clouds
95,Bocas Del Toro,PA,9.33,-82.25,64.0,100,92,4.07,overcast clouds
96,Inuvik,CA,68.35,-133.72,51.8,50,20,8.05,few clouds
97,Kavieng,PG,-2.57,150.8,84.02,70,77,4.7,moderate rain
98,Tarko-Sale,RU,64.92,77.78,55.99,92,0,4.99,clear sky
99,Ostrovnoy,RU,68.05,39.51,42.67,82,15,20.69,few clouds
100,Atasu,KZ,48.68,71.64,63.93,57,0,5.5,clear sky
101,Strathpeffer,GB,57.59,-4.54,51.01,87,75,2.24,broken clouds
102,Mawlaik,MM,23.63,94.42,85.32,71,50,1.74,scattered clouds
103,Georgetown,MY,5.41,100.34,87.01,74,20,3.36,few clouds
104,Rock Springs,US,41.59,-109.2,78.8,11,1,13.87,clear sky
105,Lasa,IT,46.62,10.7,61.0,93,5,2.42,clear sky
106,Cherskiy,RU,68.75,161.3,44.64,85,100,1.97,overcast clouds
107,Sagauli,IN,26.78,84.73,85.95,67,0,17.16,clear sky
108,Avarua,CK,-21.21,-159.78,77.0,57,22,4.7,few clouds
109,Alihe,CN,50.57,123.72,64.49,48,100,8.77,overcast clouds
110,Melfi,IT,41.0,15.65,73.4,78,5,3.36,clear sky
111,San Jose,US,37.34,-121.89,72.0,60,75,10.29,smoke
112,Grand Gaube,MU,-20.01,57.66,66.99,82,48,15.61,light rain
113,Evensk,RU,61.95,159.23,52.3,66,72,15.73,broken clouds
114,Guerrero Negro,MX,27.98,-114.06,77.14,74,0,14.32,clear sky
115,Atuona,PF,-9.8,-139.03,78.82,74,100,18.9,overcast clouds
116,Saint George,US,37.1,-113.58,100.4,9,1,10.29,clear sky
117,Bluff,NZ,-46.6,168.33,53.91,69,100,16.87,overcast clouds
118,Kahului,US,20.89,-156.47,87.8,45,20,25.28,few clouds
119,Vao,NC,-22.67,167.48,68.07,76,82,19.13,broken clouds
120,Mahebourg,MU,-20.41,57.7,68.0,94,75,6.93,shower rain
121,Veraval,IN,20.9,70.37,81.59,85,99,13.15,light rain
122,Denpasar,ID,-8.65,115.22,84.2,79,20,14.99,few clouds
123,Qeshm,IR,26.96,56.27,87.8,79,0,2.24,clear sky
124,Broome,US,42.25,-75.83,68.0,93,90,5.82,overcast clouds
125,Nikolskoye,RU,59.7,30.79,55.4,87,90,2.24,overcast clouds
126,Namibe,AO,-15.2,12.15,58.21,89,35,9.06,scattered clouds
127,Arraial Do Cabo,BR,-22.97,-42.03,70.86,90,0,12.03,light rain
128,Dongsheng,CN,39.82,109.98,71.19,49,0,2.15,clear sky
129,Qaanaaq,GL,77.48,-69.36,39.02,86,100,10.42,light rain
130,Ormara,PK,25.21,64.64,81.84,88,90,13.09,overcast clouds
131,Ayan,RU,56.45,138.17,54.45,80,79,1.28,broken clouds
132,Bathsheba,BB,13.22,-59.52,82.4,78,75,19.46,broken clouds
133,Raudeberg,NO,61.99,5.14,55.0,84,1,16.13,clear sky
134,Tuktoyaktuk,CA,69.45,-133.04,48.2,66,40,17.22,scattered clouds
135,Zuwarah,LY,32.93,12.08,76.59,72,0,7.31,clear sky
136,Okhotsk,RU,59.38,143.3,58.57,55,59,6.26,broken clouds
137,Yuanping,CN,38.72,112.76,76.96,59,47,4.97,scattered clouds
138,Belmonte,BR,-15.86,-38.88,68.0,94,90,4.7,light rain
139,Saskylakh,RU,71.92,114.08,67.3,35,6,1.52,clear sky
140,Yulara,AU,-25.24,130.99,75.2,16,0,18.34,clear sky
141,Thompson,CA,55.74,-97.86,59.0,100,75,2.24,fog
142,Esso,RU,55.93,158.7,46.11,80,100,3.44,overcast clouds
143,Pevek,RU,69.7,170.31,40.82,83,12,5.06,few clouds
144,Rio Gallegos,AR,-51.62,-69.22,33.8,80,40,16.11,scattered clouds
145,Diban,SY,35.04,40.52,74.21,60,0,7.63,clear sky
146,Verkhnyaya Balkariya,RU,43.13,43.46,62.6,63,20,4.47,few clouds
147,Narsaq,GL,60.92,-46.05,46.4,81,100,4.7,overcast clouds
148,Abha,SA,18.22,42.51,64.4,77,0,8.55,clear sky
149,Lezajsk,PL,50.26,22.42,54.0,87,6,9.17,clear sky
150,Iqaluit,CA,63.75,-68.51,42.8,87,75,2.24,broken clouds
151,Bambous Virieux,MU,-20.34,57.76,68.0,94,75,6.93,shower rain
152,Port Elizabeth,ZA,-33.92,25.57,57.2,62,19,14.99,few clouds
153,Luau,AO,-10.71,22.22,61.9,95,0,2.8,clear sky
154,Hamilton,US,39.18,-84.53,79.0,88,1,5.01,clear sky
155,Rivers,CA,50.03,-100.24,68.0,72,75,8.05,broken clouds
156,Joshimath,IN,30.57,79.57,70.12,54,73,3.89,light rain
157,Laguna,US,38.42,-121.42,91.4,31,1,11.41,clear sky
158,Touros,BR,-5.2,-35.46,69.8,88,20,2.24,few clouds
159,Batemans Bay,AU,-35.72,150.18,63.0,42,0,4.0,clear sky
160,Praia Da Vitoria,PT,38.73,-27.07,73.4,88,75,2.95,broken clouds
161,Urengoy,RU,65.97,78.37,60.64,62,0,6.85,clear sky
162,Zawiercie,PL,50.49,19.42,48.99,93,33,1.12,scattered clouds
163,Banfora,BF,10.63,-4.77,72.12,93,100,4.88,light rain
164,Buncrana,IE,55.13,-7.45,54.41,93,100,9.4,light rain
165,Skara,SE,58.39,13.44,46.0,76,0,2.93,clear sky
166,Miyako,JP,39.64,141.95,87.89,64,0,5.7,clear sky
167,Constitucion,CL,-35.33,-72.42,47.7,76,49,8.84,scattered clouds
168,Tripoli,LY,32.88,13.19,76.17,70,0,5.61,clear sky
169,Conceicao Do Araguaia,BR,-8.26,-49.26,78.69,43,0,3.2,clear sky
170,Roma,US,43.21,-75.46,66.99,88,75,4.7,mist
171,San Patricio,MX,19.22,-104.7,77.43,92,100,9.86,heavy intensity rain
172,Lake Jackson,US,29.03,-95.43,84.99,74,1,6.93,clear sky
